node,edge
ATF4,TFEB
ATF4,THRA
ATF4,THRB
ATF4,TP53
ATF4,ZBTB38
ATF4,ZBTB7B
ATF4,ZBTB7C
ATF4,ZFHX2
ATF4,ZFP62
ATF4,ZIC1
ATF4,ZNF135
ATF4,ZNF143
ATF4,ZNF174
ATF4,ZNF19
ATF4,ZNF22
ATF4,ZNF23
ATF4,ZNF275
ATF4,ZNF311
ATF4,ZNF408
ATF4,ZNF470
ATF4,ZNF536
ATF4,ZNF573
ATF4,ZNF621
ATF4,ZNF629
ATF4,ZNF687
ATF4,ZNF71
ATF4,ZNF710
ATF4,ZNF740
ATF4,ZNF771
ATF4,ZSCAN1
ATF4,ZSCAN18
ATF4,ZSCAN2
ATF6,BARX2
ATF6,BCL6B
ATF6,BHLHE40
ATF6,E2F1
ATF6,EHF
ATF6,GLI2
ATF6,GLIS3
ATF6,KLF13
ATF6,MNT
ATF6,MSX2
ATF6,RXRA
ATF6,SOX9
ATF6,TEAD1
ATF6,ZBTB4
ATF6,ZNF135
ATF6,ZNF341
ATF6,ZSCAN1
ATF6,ZSCAN18
ATF7,ATF3
ATF7,BCL6
ATF7,BCLAF1
