"gene"	"entrez"	"ensembl"
"GINS3"	64785	"ENSG00000181938"
"GLE1"	2733	"ENSG00000119392"
"GMNN"	51053	"ENSG00000112312"
"GMPS"	8833	"ENSG00000163655"
"GNB1L"	54584	"ENSG00000185838"
"GNL2"	29889	"ENSG00000134697"
"GNL3"	26354	"ENSG00000163938"
"GNL3L"	54552	"ENSG00000130119"
"GON4L"	54856	"ENSG00000116580"
"GOSR2"	9570	"ENSG00000108433"
"GPATCH1"	55094	"ENSG00000076650"
"GPKOW"	27238	"ENSG00000068394"
"GPN1"	11321	"ENSG00000198522"
"GPN2"	54707	"ENSG00000142751"
"GPN3"	51184	"ENSG00000111231"
"GRB2"	2885	"ENSG00000177885"
"GRPEL1"	80273	"ENSG00000109519"
"GRWD1"	83743	"ENSG00000105447"
"GSPT1"	2935	"ENSG00000103342"
"GTF2A1"	2957	"ENSG00000165417"
"GTF2A2"	2958	"ENSG00000140307"
"GTF2B"	2959	"ENSG00000137947"
"GTF2E1"	2960	"ENSG00000153767"
"GTF2H3"	2967	"ENSG00000111358"
"GTF3C1"	2975	"ENSG00000077235"
"GTF3C3"	9330	"ENSG00000119041"
"GTF3C4"	9329	"ENSG00000125484"
"GTF3C5"	9328	"ENSG00000148308"
"GTPBP4"	23560	"ENSG00000107937"
"GUK1"	2987	"ENSG00000143774"
"HARS1"	3035	"ENSG00000170445"
"HARS2"	23438	"ENSG00000112855"
"HAUS1"	115106	"ENSG00000152240"
"HAUS3"	79441	"ENSG00000214367"
"HAUS4"	54930	"ENSG00000092036"
"HAUS5"	23354	"ENSG00000249115"
"HAUS7"	55559	"ENSG00000213397"
"HAUS8"	93323	"ENSG00000131351"
"HBS1L"	10767	"ENSG00000112339"
"HCFC1"	3054	"ENSG00000172534"
"HEATR1"	55127	"ENSG00000119285"
"HINFP"	25988	"ENSG00000172273"
"HJURP"	55355	"ENSG00000123485"
"HMGCR"	3156	"ENSG00000113161"
"HMGCS1"	3157	"ENSG00000112972"
"HNRNPA2B1"	3181	"ENSG00000122566"
"HNRNPH1"	3187	"ENSG00000169045"
"HNRNPK"	3190	"ENSG00000165119"
"HNRNPL"	3191	"ENSG00000104824"
"HNRNPM"	4670	"ENSG00000099783"
